Country,TooDark,Damp,NoBathShower,NoIndoorToilet
Netherlands,0.037,0.142,0,0
Spain,0.069,0.176,0,0
Norway,0.041,0.082,0.001,0.001
Switzerland,0.058,0.086,0.001,0.001
Iceland,0.018,0.174,0.001,0.003
Malta,0.067,0.1,0.002,0
UK,0.106,0.146,0.002,0.005
Luxembourg,0.07,0.175,0.002,0.008
Slovakia,0.035,0.066,0.003,0.011
Germany,0.048,0.14,0.003,0.012
Italy,0.079,0.205,0.004,0.002
Sweden,0.061,0.066,0.005,0
Czech Republic,0.043,0.146,0.005,0.007
Ireland,0.056,0.132,0.006,0.003
Slovenia,0.155,0.306,0.006,0.006
France,0.075,0.126,0.006,0.008
Denmark,0.045,0.078,0.007,0
Cyprus,0.057,0.294,0.007,0.007
Austria,0.065,0.153,0.007,0.013
Belgium,0.096,0.152,0.009,0.006
Finland,0.044,0.049,0.01,0.008
Greece,0.067,0.176,0.011,0.018
Portugal,0.086,0.197,0.027,0.024
Hungary,0.084,0.145,0.042,0.071
Poland,0.083,0.176,0.056,0.048
Estonia,0.047,0.202,0.128,0.122
Bulgaria,0.068,0.239,0.156,0.262
Lithuania,0.088,0.213,0.159,0.172
Latvia,0.109,0.257,0.182,0.166
Romania,0.087,0.22,0.412,0.425
