"Athlete","100m Hurdles","200m","800m","High Jump","Javelin","Long Jump","Shot Put"
"  AERTS Sara",1133,0,NA,795,NA,NA,823
"  BROERSEN Nadine",1030,875,865,1054,899,831,765
"  CHERNOVA Tatyana",1053,1013,971,978,788,1020,805
"  COWLEY Sarah",985,833,837,978,704,850,686
"  DADIC Ivona",898,953,880,978,702,850,674
"  DAY Sharon",1040,946,946,941,742,804,813
"  DE ANICETO Marisa",1015,863,876,867,899,777,733
"  DOBRYNSKA Nataliya",1040,915,NA,1016,NA,242,864
"  ENNIS Jessica",1195,1096,984,1054,812,1001,813
"  FARKAS Gyorgyi",932,822,853,978,793,871,764
"  FOUNTAIN Hyleas",1170,1016,NA,1054,319,865,660
"  GRABUSTE Aiga",1028,NA,NA,941,NA,NA,762
"  HAZEL Louise",1053,935,840,724,809,780,715
"  IFADIDOU Sofia",1004,805,796,830,995,792,725
"  IKAUNIECE Laura",1020,965,934,1016,885,890,704
"  JOHNSON-THOMPSON Katarina",1053,1007,954,1093,636,908,616
"  KARPOVA Irina",949,849,706,830,586,759,640
"  KLUCINOVA Eliska",977,887,878,978,776,890,723
"  KURBAN Olga",1041,992,826,978,674,798,775
"  MACHTIG Julia",903,852,819,830,752,322,860
"  MAKSIMAVA Yana",983,848,916,1093,712,846,800
"  MARCUSSEN Ida",967,873,912,830,711,795,758
"  MCMILLAN Chantae",1052,864,567,830,856,663,856
"  MELNYCHENKO Hanna",1077,972,923,978,742,975,725
"  NANA DJIMOU IDA Antoinette",1130,913,880,978,974,890,811
"  OESER Jennifer",1062,944,0,978,795,871,805
"  OSAZUWA Uhunoma",1056,922,NA,941,NA,771,712
"  SADEIKO Grit",1050,957,783,903,747,883,690
"  SAMUELSSON Jessica",1039,957,946,941,706,905,806
"  SAVITSKAYA Kristina",1069,937,932,1016,738,915,845
"  SCHIPPERS Dafne",1053,1096,885,978,603,937,772
"  SCHWARZKOPF Lilli",1086,908,957,1016,894,943,845
"  SKUJYTE Austra",978,848,816,1132,882,927,1016
"  SPRUNGER Ellen",1072,1020,857,867,776,813,702
"  THEISEN Brianne",1080,947,975,1016,792,853,720
"  TYMINSKA Karolina",1091,1009,NA,830,NA,0,777
"  YOSYPENKO Lyudmyla",1087,1012,917,1016,853,946,787
"  ZELINKA Jessica",1178,1047,977,830,778,822,848
